Reference;LeftContext;Keyword;RightContext
01 - Le Rideau cramoisi;Le rideau cramoisi;Really;. Il y a terriblement d'années, je m'en allais
01 - Le Rideau cramoisi;demanderai la permission d'appeler le vicomte de;Brassard;. Précaution probablement inutile ! Les quelques centaines de personnes qui se
01 - Le Rideau cramoisi;de personnes qui se nomment le monde à;Paris;sont bien capables de mettre ici son nom véritable... Il était
01 - Le Rideau cramoisi;son fouet au départ ! Le vicomte de;Brassard;était à cet instant de l'existence où l'on ne fait
01 - Le Rideau cramoisi;est un de ces tempéraments dignes d'être;Anglais;(il a été élevé en Angleterre), qui blessés à
01 - Le Rideau cramoisi;être Anglais (il a été élevé en;Angleterre;), qui blessés à mort, n'en conviendraient jamais et
01 - Le Rideau cramoisi;et ne se rend pas est héroïque à;Waterloo;, il ne l'est pas moins en face de la vieillesse
01 - Le Rideau cramoisi;, toujours toute la question, comme à;Waterloo;! Le vicomte de Brassard, qui ne s'est pas rendu
01 - Le Rideau cramoisi;, comme à Waterloo ! Le vicomte de;Brassard;, qui ne s'est pas rendu (il vit encore,
01 - Le Rideau cramoisi;de le savoir), le vicomte de;Brassard;était donc, à la minute où je montais dans la diligence
01 - Le Rideau cramoisi;qu'on paraît avoir, le vicomte de;Brassard;pouvait passer pour « un beau » tout court. Du moins
01 - Le Rideau cramoisi;qui en aurait tondu une douzaine, comme;Dalila;tondit Samson, portait avec assez de faste, sur un fond
01 - Le Rideau cramoisi;aurait tondu une douzaine, comme Dalila tondit;Samson;, portait avec assez de faste, sur un fond bleu,
01 - Le Rideau cramoisi;pas la notion juste de mon vicomte de;Brassard;, chez qui, esprit, manières, physionomie, tout était
01 - Le Rideau cramoisi;aie connu, moi qui, ai vu;Brummel;devenir fou, et d'Orsay mourir ! C'était, en
01 - Le Rideau cramoisi;ai vu Brummel devenir fou, et d';Orsay;mourir ! C'était, en effet, un dandy que le
01 - Le Rideau cramoisi;effet, un dandy que le vicomte de;Brassard;. S'il l'eût été moins, il serait devenu certainement
01 - Le Rideau cramoisi;moins, il serait devenu certainement maréchal de;France;. Il avait été dès sa jeunesse un des plus brillants officiers
01 - Le Rideau cramoisi;il se distinguait par une bravoure à la;Murat;, compliquée de Marmont. Avec cela, -- et avec une
01 - Le Rideau cramoisi;une bravoure à la Murat, compliquée de;Marmont;. Avec cela, -- et avec une tête très carrée et
01 - Le Rideau cramoisi;hiérarchie militaire, mais le dandysme !...;Si;vous combinez le dandysme avec les qualités qui font l'officier :
01 - Le Rideau cramoisi;vingt instants de sa vie l'officier de;Brassard;n'eût pas sauté, c'est que, comme tous les
01 - Le Rideau cramoisi;armée, c'est la jeunesse de la;France;! Cette beauté, du reste, qui ne séduit pas que
01 - Le Rideau cramoisi;fût étendue sur la tête du capitaine de;Brassard;. Il était, je crois, de race normande, de
01 - Le Rideau cramoisi;de race normande, de la race de;Guillaume;le Conquérant, et il avait, dit -on, beaucoup conquis
01 - Le Rideau cramoisi;normande, de la race de Guillaume le;Conquérant;, et il avait, dit -on, beaucoup conquis... Après
01 - Le Rideau cramoisi;l'Empereur, il était naturellement passé aux;Bourbons;, et, pendant les Cent-Jours, surnaturellement leur était demeuré fidèle
